ds,y_p10,y_pred,y_p90,y_actual
2026-01-15 14:00:00,15.39,66.21,117.03,110
2026-01-15 15:00:00,9.22,55.52,101.82,79
2026-01-15 16:00:00,0.0,35.07,88.32,63
2026-01-15 17:00:00,0.0,18.73,52.62,58
2026-01-15 18:00:00,0.0,9.45,28.76,15
2026-01-15 19:00:00,0.0,12.76,31.24,21
2026-01-15 20:00:00,0.0,9.36,25.02,10
2026-01-15 21:00:00,0.0,6.56,19.75,1
2026-01-15 22:00:00,0.0,5.12,16.36,5
2026-01-15 23:00:00,0.0,3.59,12.73,4
2026-01-16 00:00:00,0.0,2.05,5.57,2
2026-01-16 01:00:00,0.0,1.74,6.34,1
2026-01-16 02:00:00,0.0,2.05,5.43,1
2026-01-16 03:00:00,0.0,3.42,9.57,5
2026-01-16 05:00:00,0.0,0.59,6.06,3
2026-01-16 06:00:00,0.0,2.49,10.28,5
2026-01-16 07:00:00,0.0,16.94,46.13,9
2026-01-16 08:00:00,0.0,42.69,97.85,56
2026-01-16 09:00:00,0.0,57.68,115.8,92
2026-01-16 10:00:00,0.0,61.68,128.8,83
2026-01-16 11:00:00,4.57,66.35,128.12,98
2026-01-16 12:00:00,9.4,64.13,118.86,84
2026-01-16 13:00:00,0.0,59.75,124.29,98
2026-01-16 14:00:00,0.0,56.92,122.13,76
2026-01-16 15:00:00,0.0,42.32,103.15,55
2026-01-16 16:00:00,0.0,26.55,68.8,42
2026-01-16 17:00:00,0.0,16.88,51.02,18
2026-01-16 18:00:00,0.0,8.8,29.61,4
2026-01-16 19:00:00,0.0,8.94,26.32,8
2026-01-16 20:00:00,0.0,4.56,17.85,2
2026-01-16 21:00:00,0.0,3.27,12.65,4
2026-01-16 22:00:00,0.0,3.69,12.32,1
2026-01-16 23:00:00,0.0,2.18,10.27,2
2026-01-17 06:00:00,0.0,1.63,9.38,3
2026-01-17 08:00:00,0.0,0.52,9.63,2
2026-01-17 09:00:00,0.0,3.83,12.53,1
2026-01-17 11:00:00,0.0,3.9,13.11,6
2026-01-17 12:00:00,0.0,4.62,14.69,1
2026-01-17 13:00:00,0.0,0.01,4.75,1
2026-01-17 14:00:00,0.0,3.51,11.96,6
2026-01-17 15:00:00,0.0,1.21,6.18,2
2026-01-17 16:00:00,0.0,0.93,6.03,1
2026-01-17 17:00:00,0.0,2.08,11.98,5
2026-01-17 18:00:00,0.0,1.62,9.16,19
2026-01-17 19:00:00,0.0,3.89,13.85,1
2026-01-17 20:00:00,0.0,3.56,12.27,2
2026-01-17 22:00:00,0.0,3.43,11.11,2
2026-01-17 23:00:00,0.0,2.59,9.68,2
2026-01-18 09:00:00,0.0,2.91,14.83,2
2026-01-18 10:00:00,0.0,1.08,9.53,3
2026-01-18 11:00:00,0.0,4.75,17.28,3
2026-01-18 12:00:00,0.0,6.18,19.62,6
2026-01-18 13:00:00,0.0,0.91,11.27,43
2026-01-18 14:00:00,0.0,4.64,16.22,3
2026-01-18 15:00:00,0.0,4.63,12.58,1
2026-01-18 16:00:00,0.0,2.68,10.86,9
2026-01-18 17:00:00,0.0,4.26,17.11,3
2026-01-18 18:00:00,0.0,3.53,13.9,4
2026-01-18 19:00:00,0.0,4.38,17.26,2
