,ds,y_p10,y_pred,y_p90,y_actual
146,2026-02-18T06:00:00.000,0,3.95,34.47,5
145,2026-02-18T05:00:00.000,0,1.82,31.94,3
144,2026-02-18T01:00:00.000,0,4.03,35.72,2
143,2026-02-17T23:00:00.000,0,4.2,33.64,12
142,2026-02-17T22:00:00.000,0,7.92,41.25,3
141,2026-02-17T21:00:00.000,0,9.85,42.64,11
140,2026-02-17T20:00:00.000,0,9,45.98,6
139,2026-02-17T19:00:00.000,0,18.95,60.25,13
138,2026-02-17T18:00:00.000,0,22.29,75.94,22
137,2026-02-17T17:00:00.000,0,37.56,125.43,55
136,2026-02-17T16:00:00.000,0,63.95,191.96,62
135,2026-02-17T15:00:00.000,0,85.41,276.43,100
134,2026-02-17T14:00:00.000,0,97.69,317.09,133
133,2026-02-17T13:00:00.000,0,104.34,321.74,119
132,2026-02-17T12:00:00.000,0,100.29,305.17,115
131,2026-02-17T11:00:00.000,0,102.13,337.4,112
130,2026-02-17T10:00:00.000,0,101.09,277.99,134
129,2026-02-17T09:00:00.000,0,96.11,287.13,124
128,2026-02-17T08:00:00.000,0,77.08,190.67,95
127,2026-02-17T07:00:00.000,0,28.09,72.77,24
126,2026-02-17T06:00:00.000,0,4.71,33.59,2
125,2026-02-17T05:00:00.000,0,1.66,30.16,2
124,2026-02-17T03:00:00.000,0,1.95,32.24,1
123,2026-02-17T00:00:00.000,0,3.84,33.02,3
122,2026-02-16T23:00:00.000,0,3.45,33.64,3
121,2026-02-16T22:00:00.000,0,10.53,39.36,17
120,2026-02-16T21:00:00.000,0,5.97,36.91,12
119,2026-02-16T20:00:00.000,0,10.56,44.48,9
118,2026-02-16T19:00:00.000,0,18.53,53.68,10
117,2026-02-16T18:00:00.000,0,19.02,55.68,16
116,2026-02-16T17:00:00.000,0,29.91,113.1,7
115,2026-02-16T16:00:00.000,0,59.91,177.25,17
114,2026-02-16T15:00:00.000,0,84.66,265.53,40
113,2026-02-16T14:00:00.000,0,95.9,305.64,43
112,2026-02-16T13:00:00.000,0,102.73,298.04,61
111,2026-02-16T12:00:00.000,0,96.03,293.25,47
110,2026-02-16T11:00:00.000,0,100.04,327.63,47
109,2026-02-16T10:00:00.000,0,101.29,274.71,59
108,2026-02-16T09:00:00.000,0,90.87,284.98,86
107,2026-02-16T08:00:00.000,0,78.21,181.59,21
106,2026-02-16T07:00:00.000,0,24.13,68.84,14
105,2026-02-16T06:00:00.000,0,3.98,30.59,4
104,2026-02-16T00:00:00.000,0,2.8,29.61,2
103,2026-02-15T23:00:00.000,0,1.53,26.58,2
102,2026-02-15T22:00:00.000,0,3.09,29.31,2
101,2026-02-15T21:00:00.000,0,4.98,30.72,3
100,2026-02-15T20:00:00.000,0,4.93,31.1,7
99,2026-02-15T19:00:00.000,0,6.04,32.23,2
98,2026-02-15T18:00:00.000,0,4.01,30.06,2
97,2026-02-15T16:00:00.000,0,4.64,61.6,4
96,2026-02-15T15:00:00.000,0,5.78,62.23,10
95,2026-02-15T14:00:00.000,0,6.65,66.66,4
94,2026-02-15T13:00:00.000,0,5.71,62.42,4
93,2026-02-15T12:00:00.000,0,5.17,63.93,3
92,2026-02-15T10:00:00.000,0,3.16,60.82,3
91,2026-02-15T08:00:00.000,0,3.59,62.29,1
90,2026-02-15T07:00:00.000,0,3.37,38.42,3
89,2026-02-15T06:00:00.000,0,1.12,25.31,2
88,2026-02-15T05:00:00.000,0,0.8,24.63,2
87,2026-02-15T00:00:00.000,0,1.58,25.85,1
86,2026-02-14T23:00:00.000,0,1.25,24.12,1
85,2026-02-14T21:00:00.000,0,1.9,25.37,3
84,2026-02-14T20:00:00.000,0,2.79,26.64,1
83,2026-02-14T19:00:00.000,0,2.47,26.31,7
82,2026-02-14T18:00:00.000,0,1.76,23.51,3
81,2026-02-14T17:00:00.000,0,4.12,39.07,2
80,2026-02-14T16:00:00.000,0,12.88,64.61,12
79,2026-02-14T15:00:00.000,0,1.13,52.37,1
78,2026-02-14T14:00:00.000,0,5.11,59.53,3
77,2026-02-14T13:00:00.000,0,1.94,53.32,10
76,2026-02-14T12:00:00.000,0,3.13,56.32,4
75,2026-02-14T11:00:00.000,0,5.5,59.61,6
74,2026-02-14T08:00:00.000,0,2.96,56.1,2
73,2026-02-14T00:00:00.000,0,1.71,23.62,3
72,2026-02-13T23:00:00.000,0,3.02,23.64,6
71,2026-02-13T22:00:00.000,0,4.43,25.98,3
70,2026-02-13T21:00:00.000,0,5.51,26.63,1
69,2026-02-13T20:00:00.000,0,6.57,30.28,8
68,2026-02-13T19:00:00.000,0,12.1,36.62,6
67,2026-02-13T18:00:00.000,0,15.63,39.18,6
66,2026-02-13T17:00:00.000,0,25.6,79.01,13
65,2026-02-13T16:00:00.000,0,47.68,128.16,28
64,2026-02-13T15:00:00.000,0,81.79,208.36,47
63,2026-02-13T14:00:00.000,0,94.33,241.8,55
62,2026-02-13T13:00:00.000,0,99.89,237.45,129
61,2026-02-13T12:00:00.000,0,93.75,229.3,128
60,2026-02-13T11:00:00.000,0,98.25,255.48,98
59,2026-02-13T10:00:00.000,0,98.56,215.41,71
58,2026-02-13T09:00:00.000,0,89.44,190.01,58
57,2026-02-13T08:00:00.000,13.91,49.07,84.23,72
56,2026-02-13T07:00:00.000,0,18.81,48.18,14
55,2026-02-13T06:00:00.000,0,3.63,22.86,3
54,2026-02-13T05:00:00.000,0,1.87,20.78,2
53,2026-02-13T00:00:00.000,0,1.89,20.9,2
52,2026-02-12T23:00:00.000,0,2.97,20.84,5
51,2026-02-12T22:00:00.000,0,5.23,23.86,12
50,2026-02-12T21:00:00.000,0,6.32,24.98,6
49,2026-02-12T20:00:00.000,0,8.22,29.06,16
48,2026-02-12T19:00:00.000,0,14.61,37.19,10
47,2026-02-12T18:00:00.000,0,16.8,42.8,19
46,2026-02-12T17:00:00.000,0,32.55,84.74,24
45,2026-02-12T16:00:00.000,0,56.08,124.74,55
44,2026-02-12T15:00:00.000,0,83.05,191.38,91
43,2026-02-12T14:00:00.000,0,94.64,220.96,111
42,2026-02-12T13:00:00.000,0,99.32,216.95,109
41,2026-02-12T12:00:00.000,0,93.74,203.95,119
40,2026-02-12T11:00:00.000,0,97.09,224.91,91
39,2026-02-12T10:00:00.000,1.14,97.87,194.59,89
38,2026-02-12T09:00:00.000,0,90.91,197.55,92
37,2026-02-12T08:00:00.000,6.9,74.86,142.81,58
36,2026-02-12T07:00:00.000,9.12,34.17,59.23,30
35,2026-02-12T06:00:00.000,0,3.48,19.53,5
34,2026-02-12T04:00:00.000,0,1.42,17.22,5
33,2026-02-12T03:00:00.000,0,1.95,18.46,1
32,2026-02-12T02:00:00.000,0,0.75,16.13,6
31,2026-02-11T23:00:00.000,0,2.95,17.54,5
30,2026-02-11T22:00:00.000,0,5.71,20.87,5
29,2026-02-11T21:00:00.000,0,6.62,21.39,7
28,2026-02-11T20:00:00.000,0,7.9,24.4,11
27,2026-02-11T19:00:00.000,0,14.45,32.48,11
26,2026-02-11T18:00:00.000,0,17.63,36.33,32
25,2026-02-11T17:00:00.000,0,29.13,65.83,47
24,2026-02-11T16:00:00.000,0,48.61,104.62,62
23,2026-02-11T15:00:00.000,0,81.99,169.55,99
22,2026-02-11T14:00:00.000,0,92.64,193.91,147
21,2026-02-11T13:00:00.000,6.17,100.12,194.07,148
20,2026-02-11T12:00:00.000,2.17,95.24,188.3,115
19,2026-02-11T11:00:00.000,0,99.36,205.69,105
18,2026-02-11T10:00:00.000,24.2,101.41,178.61,112
17,2026-02-11T09:00:00.000,10.25,94.57,178.9,97
16,2026-02-11T08:00:00.000,21.88,75.7,129.52,103
15,2026-02-11T07:00:00.000,15.82,34.76,53.7,71
14,2026-02-11T06:00:00.000,0,3.98,16.03,6
13,2026-02-11T05:00:00.000,0,1.64,13.37,1
12,2026-02-11T00:00:00.000,0,1.75,12.87,2
11,2026-02-10T23:00:00.000,0,4.35,14.75,8
10,2026-02-10T22:00:00.000,0,7.21,18.4,5
9,2026-02-10T21:00:00.000,0,8.78,20.43,7
8,2026-02-10T20:00:00.000,0,9.81,21.95,6
7,2026-02-10T19:00:00.000,1.9,15.31,28.72,25
6,2026-02-10T18:00:00.000,3.8,19.45,35.11,33
5,2026-02-10T17:00:00.000,2.59,32.04,61.49,31
4,2026-02-10T16:00:00.000,8,51.11,94.23,54
3,2026-02-10T15:00:00.000,12.42,83.72,155.01,136
2,2026-02-10T14:00:00.000,11.04,96.35,181.66,161
1,2026-02-10T13:00:00.000,23.67,104.89,186.12,164
0,2026-02-10T12:00:00.000,13.96,97.85,181.74,130
